iso-639-3	name	value	description	latitude	longitude	family
cof	Tsafiki	B	suffix/enclitic	-0.21181	-79.23468	Barbacoan
ura	Urarina	C	none	-4.44006	-75.42107	Urarina
ure	Uru	C	none	-16.72547	-68.97119	Uru-Chipaya
wba	Warao	C	none	7.50850666667	-59.3527633333	Warao
pav	Wari	C	none	-10.69948	-64.56152	Chapacuran
wyr	Wayoró	C	none	-12.69447	-61.30635	Tupian
mtp	Wichí Lhamtés Nocten	C	none	-21.987995	-63.59711	Matacoan
xav	Xavánte	C	none	-14.30173	-52.43669	Nuclear-Macro-Je
yaa	Yaminahua	C	none	-9.88459666667	-71.5964333333	Pano-Tacanan
ame	Yanesha'	C	none	-10.54539	-75.31497	Arawakan
yuz	Yuracaré	C	none	-16.74788	-65.12241	Yurakare
